"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","3","1","2","0",,,,
"2020-03-19","3","1","2","0",,,,
"2020-03-20","3","1","2","0",,,,
"2020-03-21","3","1","2","0",,,,
"2020-03-22","3","1","2","0",,,,
"2020-03-23","3","1","2","0",,,,
"2020-03-24","4","2","2","0",,,,
"2020-03-25","4","2","2","0",,,,
"2020-03-26","4","2","2","0",,,,
"2020-03-27","6","4","2","0",,,,
"2020-03-28","6","4","2","0",,,,
"2020-03-29","8","6","2","0",,,,
"2020-03-30","9","7","2","0",,,,
"2020-03-31","9","7","2","0",,,,
"2020-04-01","9","7","2","0",,,,
"2020-04-02","9","7","2","0",,,,
"2020-04-03","9","7","2","0",,,,
"2020-04-04","9","7","2","0",,,,
"2020-04-05","9","7","2","0",,,,
"2020-04-06","15","13","2","0",,,,
"2020-04-07","27","25","2","0",,,,
"2020-04-08","32","29","3","0",,,,
"2020-04-09","42","39","3","0",,,,
"2020-04-10","49","46","3","0",,,,
"2020-04-11","49","46","3","0",,,,
"2020-04-12","66","63","3","0",,,,
"2020-04-13","72","69","3","0",,,,
"2020-04-14","76","73","3","0",,,,
"2020-04-15","86","83","3","0",,,,
"2020-04-16","86","79","6","1",,,,
"2020-04-17","101","94","6","1",,,,
"2020-04-18","101","94","6","1",,,,
"2020-04-19","110","103","6","1",,,,
"2020-04-20","121","107","11","3",,,,
"2020-04-21","125","111","11","3",,,,
"2020-04-22","130","116","11","3",,,,
"2020-04-23","132","118","11","3",,,,
"2020-04-24","133","118","11","4",,,,
"2020-04-25","133","118","11","4",,,,
"2020-04-26","133","118","11","4",,,,
"2020-04-27","137","110","23","4",,,,
"2020-04-28","141","113","24","4",,,,
"2020-04-29","141","113","24","4",,,,
"2020-04-30","142","114","24","4",,,,
"2020-05-01","142","114","24","4",,,,
"2020-05-02","142","114","24","4",,,,
"2020-05-03","142","114","24","4",,,,
"2020-05-04","142","114","24","4",,,,
"2020-05-05","142","114","24","4",,,,
"2020-05-06","142","114","24","4",,,,
"2020-05-07","142","114","24","4",,,,
"2020-05-08","142","55","82","5","不明","0","2403",
"2020-05-09","142","55","82","5","5","0","1446",
"2020-05-10","142","45","92","5","5","0","2483",
"2020-05-11","142","41","96","5","5","0","2511",
"2020-05-12","142","30","106","6","4","0","2535",
"2020-05-13","142","25","111","6","4","0","2608",
"2020-05-14","142","21","115","6","4","0","2643",
"2020-05-15","142","21","115","6","4","0","2643",
"2020-05-16","142","12","124","6","4","0","2693",
"2020-05-17","142","13","123","6","4","0","2724",
"2020-05-18","142","11","125","6","4","0","2735",
"2020-05-19","142","9","127","6","4","0","2752",
"2020-05-20","142","6","130","6","4","0","2773",
"2020-05-21","142","5","131","6","4","0","2795",
"2020-05-22","142","4","132","6","3","0","2806",
"2020-05-23","142","4","132","6","3","0","2806",
"2020-05-24","142","3","133","6","4","0","2821",
"2020-05-25","142","2","134","6","-","0","2826",
"2020-05-26","142","1","135","6","3","0","2829",
"2020-05-27","142","1","135","6","3","0","2836",
"2020-05-28","142","4","136","6","2","0","2843",
"2020-05-29","142","4","136","6","2","0","2847",
"2020-05-30","142","3","137","6","2","0","2852",
"2020-05-31","142","3","137","6","2","0","2863",
"2020-06-01","142","3","137","6","2","0","2870",
"2020-06-02","142","3","137","6","2","0","2872",
"2020-06-03","142","2","137","7","1","0","2880",
"2020-06-04","142","2","137","7","1","0","2895",
"2020-06-05","142","2","137","7","1","0","2908",
"2020-06-06","142","2","137","7","1","0","2908",
"2020-06-07","142","2","137","7","1","0","2908",
"2020-06-08","142","2","137","7","1","0","2908",
"2020-06-09","142","0","139","7","0","0","2925",
"2020-06-10","142","0","139","7","0","0","2930",
"2020-06-11","142","0","139","7","0","0","2935",
"2020-06-12","142","0","139","7","0","0","2940",
"2020-06-13","142","0","139","7","0","0","2949",
"2020-06-14","142","0","139","7","0","0","2957",
"2020-06-15","142","0","139","7","0","0","2962",
"2020-06-16","142","0","139","7","0","0","2966",
"2020-06-17","142","0","139","7","0","0","2976",
"2020-06-18","142","0","139","7","0","0","2983",
"2020-06-19","142","0","139","7","0","0","2986",
"2020-06-20","142","0","139","7","0","0","2986",
"2020-06-21","142","0","139","7","0","0","2986",
"2020-06-22","142","0","139","7","0","0","3000",
"2020-06-23","142","0","139","7","0","0","3000",
"2020-06-24","142","0","139","7","0","0","3003",
"2020-06-25","142","0","139","7","0","0","3004",
"2020-06-26","142","0","139","7","0","0","3012",
"2020-06-27","142","0","139","7","0","0","3012",
"2020-06-28","142","0","139","7","0","0","3015",
"2020-06-29","142","0","139","7","0","0","3016",
"2020-06-30","142","0","139","7","0","0","3019",
"2020-07-01","142","0","139","7","0","0","3023",
"2020-07-02","142","0","139","7","0","0","3028",
"2020-07-03","142","0","139","7","0","0","3037",
"2020-07-04","142","0","139","7","0","0","3037",
"2020-07-05","142","0","139","7","0","0","3037",
"2020-07-06","142","0","139","7","0","0","3047",
"2020-07-07","142","0","139","7","0","0","3047",
"2020-07-08","144","1","139","7","0","0","3062",
"2020-07-09","145","2","139","7","0","0","3062",
"2020-07-10","145","3","139","7","0","0","3097",
"2020-07-11","148","3","139","7","0","0","3097",
"2020-07-12","148","3","139","7","0","0","3097",
"2020-07-13","148","6","139","7","0","0","3177",
"2020-07-14","148","4","141","7","0","0","3326",
"2020-07-15","148","4","141","7","0","0","3381",
"2020-07-16","149","5","141","7","0","0","3414",
"2020-07-17","149","5","141","7","0","0","3457",
"2020-07-18","149","4","142","7","0","0","3457",
"2020-07-19","151","6","142","7","0","0","3457",
"2020-07-20","153","8","142","7","0","0","3655",
"2020-07-21","155","9","143","7","0","0","3777",
"2020-07-22","157","11","143","7","0","0","3830",
"2020-07-23","162","16","143","7","1","0","5941",
"2020-07-24","172","24","145","7","1","0","6226",
"2020-07-25","186","38","145","7","1","0","6226",
"2020-07-26","186","38","145","7","1","0","6226",
"2020-07-27","192","44","145","7","1","0","6342",
"2020-07-28","210","62","145","7","2","0","6665",
"2020-07-29","231","83","145","7","2","0","7034",
"2020-07-30","324","173","148","7","2","0","8033",
"2020-07-31","395","244","148","7","3","0","8033",
"2020-08-01","453","302","148","7","3","0","8338",
"2020-08-02","517","366","148","7","3","0","8972",
"2020-08-03","554","398","153","7","2","0","9200",
"2020-08-04","637","477","157","7","2","0","9612",
"2020-08-05","714","546","165","7","3","0","10548",
"2020-08-06","784","598","183","7","3","0","11078",
"2020-08-07","884","689","192","7","5","0","11078",
"2020-08-08","968","734","231","7","6","0","14460",
"2020-08-09","1127","871","253","7","7","0","14462",
"2020-08-10","1179","874","299","10","11","0","15757",
"2020-08-11","1242","929","307","10","12","0","15721",
"2020-08-12","1307","976","325","10","12","0","16497",
"2020-08-13","1404","1034","364","10","14","0","16129",
"2020-08-14","1510","1092","411","11","17","0","16129",
"2020-08-15","1558","1123","428","11","17","0","16561",
"2020-08-16","1618","1156","453","13","21","0","18176",
"2020-08-17","1656","1123","523","14","19","0","18502",
"2020-08-18","1689","856","823","14","14","0","18954",
"2020-08-19","1759","814","934","15","14","0","18292",
"2020-08-20","1804","760","1031","17","16","0","18292",
"2020-08-21","1834","681","1139","18","16","0","20148",
"2020-08-22","1864","616","1234","18","15","0","20747",
"2020-08-23","1889","594","1280","19","16","0","22437",
"2020-08-24","1911","531","1361","23","13","0","22650",
"2020-08-25","1943","491","1432","24","12","0","23549",
"2020-08-26","1977","466","1490","25","12","0","23690",
"2020-08-27","2013","427","1564","26","14","0","23690",
"2020-08-28","2056","429","1605","26","16","0","22624",
"2020-08-29","2084","441","1621","26","13","0","22979",
"2020-08-30","2117","446","1648","27","11","0","25614",
"2020-08-31","2139","430","1685","28","11","0","25614",
"2020-09-01","2139","430","1685","28","11","0","25614",
"2020-09-02","2152","398","1729","29","12","0","25883",
"2020-09-03","2172","371","1774","31","12","0","25883",
"2020-09-04","2200","354","1819","31","11","4","25134",
"2020-09-05","2220","345","1847","32","10","4","25134",
"2020-09-06","2220","345","1847","32","10","4","25134",
"2020-09-07","2229","311","1886","36","9","4","29703",
"2020-09-08","2238","298","1906","38","7","4","26337",
"2020-09-09","2244","240","1967","41","6","4","30027",
"2020-09-10","2259","237","1985","41","9","4","31139",
"2020-09-11","2269","222","2010","41","8","4","31139",
"2020-09-12","2280","216","2023","45","7","4","31694",
"2020-09-13","2290","201","2048","45","7","4","27827",
"2020-09-14","2294","198","2055","45","7","4","32570",
"2020-09-15","2297","182","2074","45","8","4","33812",
"2020-09-16","2305","170","2094","45","8","4","34207",
"2020-09-17","2310","154","2115","45","9","4","34484",
"2020-09-18","2322","142","2139","45","9","4","35020",
"2020-09-19","2338","137","2160","45","9","4","35020",
"2020-09-20","2352","146","2165","45","10","4","36091",
"2020-09-21","2358","145","2172","45","10","4","36091",
"2020-09-22","2364","150","2173","45","8","4","36499",
"2020-09-23","2376","157","2178","45","8","4","36832",
"2020-09-24","2382","137","2204","45","7","4","37072",
"2020-09-25","2389","135","2213","45","7","4","37465",
"2020-09-26","2407","149","2216","46","8","4","37958",
"2020-09-27","2427","153","2232","46","8","4","38138",
"2020-09-28","2441","163","2236","46","7","4","38286",
"2020-09-29","2460","170","2248","46","7","4","38566",
"2020-09-30","2486","193","2251","46","5","4","39038",
"2020-10-01","2516","204","2270","46","9","4","39290",
"2020-10-02","2541","226","2273","46","7","4","39901",
"2020-10-03","2569","219","2307","47","6","4","40378",
"2020-10-04","2588","228","2317","47","6","4","40691",
"2020-10-05","2607","245","2319","47","7","4","41088",
"2020-10-06","2629","242","2344","47","8","4","41446",
"2020-10-07","2656","256","2357","47","9","4","42120",
"2020-10-08","2682","273","2366","47","9","4","42581",
"2020-10-09","2710","275","2391","48","9","4","43113",
"2020-10-10","2729","268","2417","48","8","4","44109",
"2020-10-11","2740","260","2436","48","7","4","44353",
"2020-10-12","2754","261","2448","49","6","4","44764",
"2020-10-13","2769","237","2487","49","7","4","45025",
"2020-10-14","2787","240","2500","51","8","4","45430",
"2020-10-15","2826","260","2519","51","9","4","45857",
"2020-10-16","2855","258","2547","54","10","4","46732",
"2020-10-17","2855","258","2547","54","10","4","46732",
"2020-10-18","2918","274","2593","55","8","4","47630",
"2020-10-19","2954","295","2608","55","9","4","47970",
"2020-10-20","2975","296","2628","55","10","4","48352",
"2020-10-21","3012","319","2641","56","8","4","49145",
"2020-10-22","3048","297","2698","57","9","4","49742",
"2020-10-23","3094","318","2722","58","9","4","51072",
"2020-10-24","3134","342","2738","58","9","4","52894",
"2020-10-25","3165","343","2768","58","9","4","53366",
"2020-10-26","3194","356","2784","58","8","4","53755",
"2020-10-27","3217","333","2830","58","9","4","54559",
"2020-10-28","3245","345","2846","58","8","4","56121",
"2020-10-29","3277","343","2878","60","7","4","56978",
"2020-10-30","3304","342","2906","61","7","5","57775",
"2020-10-31","3336","344","2934","63","7","5","57775",
"2020-11-01","3363","341","2964","63","7","5","58299",
"2020-11-02","3373","311","3004","63","6","5","58991",
"2020-11-03","3392","308","3026","63","5","5","59096",
"2020-11-04","3408","297","3053","63","5","5","59589",
"2020-11-05","3435","294","3082","64","5","5","60235",
"2020-11-06","3456","282","3115","64","5","5","60623",
"2020-11-07","3488","277","3152","64","5","5","60962",
"2020-11-08","3518","284","3174","65","6","5","61098",
"2020-11-09","3536","276","3200","65","5","5","61923",
"2020-11-10","3561","264","3237","65","2","5","61958",
"2020-11-11","3597","283","3254","65","4","5","63313",
"2020-11-12","3620","278","3281","66","3","5","63899",
"2020-11-13","3669","300","3308","66","3","5","64314",
"2020-11-14","3696","288","3347","66","3","5","65248",
"2020-11-15","3741","311","3369","66","3","5","65248",
"2020-11-16","3768","308","3399","66","3","5","65248",
