"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","0","0","0","0",,,,
"2020-03-19","0","0","0","0",,,,
"2020-03-20","0","0","0","0",,,,
"2020-03-21","0","0","0","0",,,,
"2020-03-22","0","0","0","0",,,,
"2020-03-23","2","2","0","0",,,,
"2020-03-24","2","2","0","0",,,,
"2020-03-25","4","4","0","0",,,,
"2020-03-26","4","4","0","0",,,,
"2020-03-27","4","4","0","0",,,,
"2020-03-28","6","6","0","0",,,,
"2020-03-29","7","7","0","0",,,,
"2020-03-30","7","7","0","0",,,,
"2020-03-31","8","8","0","0",,,,
"2020-04-01","8","8","0","0",,,,
"2020-04-02","9","9","0","0",,,,
"2020-04-03","11","11","0","0",,,,
"2020-04-04","11","11","0","0",,,,
"2020-04-05","11","11","0","0",,,,
"2020-04-06","11","11","0","0",,,,
"2020-04-07","11","11","0","0",,,,
"2020-04-08","12","12","0","0",,,,
"2020-04-09","14","14","0","0",,,,
"2020-04-10","14","11","3","0",,,,
"2020-04-11","22","19","3","0",,,,
"2020-04-12","22","19","3","0",,,,
"2020-04-13","22","18","4","0",,,,
"2020-04-14","22","17","5","0",,,,
"2020-04-15","22","17","5","0",,,,
"2020-04-16","22","17","5","0",,,,
"2020-04-17","22","17","5","0",,,,
"2020-04-18","22","16","6","0",,,,
"2020-04-19","22","16","6","0",,,,
"2020-04-20","22","13","9","0",,,,
"2020-04-21","22","12","10","0",,,,
"2020-04-22","22","12","10","0",,,,
"2020-04-23","22","8","14","0",,,,
"2020-04-24","22","8","14","0",,,,
"2020-04-25","22","8","14","0",,,,
"2020-04-26","22","8","14","0",,,,
"2020-04-27","23","9","14","0",,,,
"2020-04-28","26","12","14","0",,,,
"2020-04-29","26","12","14","0",,,,
"2020-04-30","26","12","14","0",,,,
"2020-05-01","26","12","14","0",,,,
"2020-05-02","26","12","14","0",,,,
"2020-05-03","26","12","14","0",,,,
"2020-05-04","26","12","14","0",,,,
"2020-05-05","26","11","15","0",,,,
"2020-05-06","26","11","15","0",,,,
"2020-05-07","26","11","15","0",,,,
"2020-05-08","27","10","17","不明","不明","10","728",
"2020-05-09","27","10","17","-","-","10","749",
"2020-05-10","27","10","17","-","-","10","749",
"2020-05-11","27","6","21","-","-","6","760",
"2020-05-12","27","6","21","0","0","0","767",
"2020-05-13","27","6","21","0","0","0","776",
"2020-05-14","27","6","21","0","0","0","784",
"2020-05-15","27","6","21","0","0","1","797",
"2020-05-16","27","6","21","0","0","1","800",
"2020-05-17","27","6","21","0","0","1","800",
"2020-05-18","27","5","21","1","0","0","802",
"2020-05-19","27","5","21","1","0","0","804",
"2020-05-20","27","5","21","1","0","0","808",
"2020-05-21","27","5","21","1","0","1","812",
"2020-05-22","27","2","24","1","0","0","810",
"2020-05-23","27","2","24","1","0","0","813",
"2020-05-24","27","2","24","1","0","0","813",
"2020-05-25","27","2","24","1","0","0","824",
"2020-05-26","27","2","24","1","0","0","834",
"2020-05-27","27","2","24","1","0","0","839",
"2020-05-28","27","1","25","1","0","0","843",
"2020-05-29","27","1","25","1","0","0","845",
"2020-05-30","27","1","25","1","0","0","850",
"2020-05-31","27","1","25","1","0","0","850",
"2020-06-01","27","0","26","1","0","0","853",
"2020-06-02","27","0","26","1","0","0","857",
"2020-06-03","27","0","26","1","0","0","867",
"2020-06-04","27","0","26","1","0","0","875",
"2020-06-05","27","0","26","1","0","0","878",
"2020-06-06","27","0","26","1","0","0","882",
"2020-06-07","27","0","26","1","0","0","882",
"2020-06-08","27","0","26","1","0","0","888",
"2020-06-09","27","0","26","1","0","0","889",
"2020-06-10","27","0","26","1","0","0","892",
"2020-06-11","27","0","26","1","0","0","899",
"2020-06-12","27","0","26","1","0","0","907",
"2020-06-13","27","0","26","1","0","0","910",
"2020-06-14","27","0","26","1","0","0","910",
"2020-06-15","27","0","26","1","0","0","917",
"2020-06-16","27","0","26","1","0","0","922",
"2020-06-17","27","0","26","1","0","0","928",
"2020-06-18","27","0","26","1","0","0","933",
"2020-06-19","27","0","26","1","0","0","937",
"2020-06-20","27","0","26","1","0","0","941",
"2020-06-21","27","0","26","1","0","0","941",
"2020-06-22","27","0","26","1","0","0","941",
"2020-06-23","27","0","26","1","0","0","946",
"2020-06-24","27","0","26","1","0","0","950",
"2020-06-25","27","0","26","1","0","0","959",
"2020-06-26","27","0","26","1","0","0","965",
"2020-06-27","27","0","26","1","0","0","971",
"2020-06-28","27","0","26","1","0","0","971",
"2020-06-29","27","0","26","1","0","0","974",
"2020-06-30","27","0","26","1","0","0","981",
"2020-07-01","27","0","26","1","0","0","991",
"2020-07-02","27","0","26","1","0","0","999",
"2020-07-03","27","0","26","1","0","0","1002",
"2020-07-04","27","0","26","1","0","0","1002",
"2020-07-05","27","0","26","1","0","0","1002",
"2020-07-06","27","0","26","1","0","0","1015",
"2020-07-07","27","0","26","1","0","0","1020",
"2020-07-08","27","0","26","1","0","0","1027",
"2020-07-09","27","0","26","1","0","0","1038",
"2020-07-10","28","1","26","1","0","0","1055",
"2020-07-11","29","2","26","1","0","0","1065",
"2020-07-12","29","2","26","1","0","0","1065",
"2020-07-13","29","3","25","1","0","0","1086",
"2020-07-14","29","3","25","1","0","0","1104",
"2020-07-15","29","3","25","1","0","0","1140",
"2020-07-16","30","4","25","1","0","0","1178",
"2020-07-17","30","4","25","1","0","0","1201",
"2020-07-18","30","4","25","1","0","0","1201",
"2020-07-19","30","4","25","1","0","0","1201",
"2020-07-20","30","4","25","1","0","0","1287",
"2020-07-21","30","4","25","1","0","0","1297",
"2020-07-22","31","4","26","1","0","0","1317",
"2020-07-23","31","4","26","1","0","0","1317",
"2020-07-24","31","4","26","1","0","0","1317",
"2020-07-25","31","4","26","1","0","0","1317",
"2020-07-26","31","4","26","1","0","0","1317",
"2020-07-27","31","1","29","1","0","0","1369",
"2020-07-28","31","1","29","1","0","0","1393",
"2020-07-29","31","1","29","1","0","0","1410",
"2020-07-30","31","1","29","1","0","0","1427",
"2020-07-31","32","2","29","1","0","0","1445",
"2020-08-01","32","1","30","1","0","0","1445",
"2020-08-02","32","1","30","1","0","0","1445",
"2020-08-03","32","2","29","1","0","0","1463",
"2020-08-04","32","2","29","1","0","0","1476",
"2020-08-05","32","2","29","1","0","0","1503",
"2020-08-06","32","2","29","1","0","0","1531",
"2020-08-07","32","2","29","1","0","0","1549",
"2020-08-08","32","2","29","1","0","0","1549",
"2020-08-09","32","2","29","1","0","0","1549",
"2020-08-10","32","2","29","1","0","0","1549",
"2020-08-11","32","2","29","1","0","0","1580",
"2020-08-12","32","2","29","1","0","0","1610",
"2020-08-13","32","2","29","1","0","0","1662",
"2020-08-14","33","1","31","1","0","0","1689",
"2020-08-15","33","1","31","1","0","0","1689",
"2020-08-16","33","1","31","1","0","0","1689",
"2020-08-17","33","1","31","1","0","0","1731",
"2020-08-18","33","1","31","1","0","0","1755",
"2020-08-19","33","1","31","1","0","0","1797",
"2020-08-20","33","1","31","1","0","0","1848",
"2020-08-21","33","0","32","1","0","0","1870",
"2020-08-22","33","0","32","1","0","0","1870",
"2020-08-23","33","0","32","1","0","0","1870",
"2020-08-24","33","0","32","1","0","0","1894",
"2020-08-25","33","0","32","1","0","0","1918",
"2020-08-26","33","0","32","1","0","0","1949",
"2020-08-27","35","2","32","1","0","0","1958",
"2020-08-28","35","2","32","1","0","0","1982",
"2020-08-29","35","2","32","1","0","0","1982",
"2020-08-30","35","2","32","1","0","0","1982",
"2020-08-31","35","2","32","1","0","0","2013",
"2020-09-01","35","2","32","1","0","0","2036",
"2020-09-02","35","2","32","1","0","0","2063",
"2020-09-03","35","2","32","1","0","0","2087",
"2020-09-04","35","2","32","1","0","0","2104",
"2020-09-05","35","2","32","1","0","0","2104",
"2020-09-06","35","2","32","1","0","0","2104",
"2020-09-07","35","2","32","1","0","0","2126",
"2020-09-08","35","2","32","1","0","0","2153",
"2020-09-09","35","2","32","1","0","0","2163",
"2020-09-10","35","2","32","1","0","0","2189",
"2020-09-11","35","2","32","1","0","0","2206",
"2020-09-12","35","2","32","1","0","0","2206",
"2020-09-13","35","2","32","1","0","0","2206",
"2020-09-14","35","2","32","1","0","0","2217",
"2020-09-15","35","2","32","1","0","0","2227",
"2020-09-16","35","2","32","1","0","0","2247",
"2020-09-17","35","2","32","1","0","0","2258",
"2020-09-18","35","2","32","1","0","0","2282",
"2020-09-19","35","2","32","1","0","0","2282",
"2020-09-20","35","2","32","1","0","0","2282",
"2020-09-21","35","2","32","1","0","0","2282",
"2020-09-22","35","2","32","1","0","0","2282",
"2020-09-23","35","0","34","1","0","0","2296",
"2020-09-24","35","0","34","1","0","0","2329",
"2020-09-25","35","0","34","1","0","0","2348",
"2020-09-26","35","0","34","1","0","0","2348",
"2020-09-27","35","0","34","1","0","0","2348",
"2020-09-28","36","1","34","1","0","0","2378",
"2020-09-29","36","1","34","1","0","0","2414",
"2020-09-30","36","1","34","1","0","0","2435",
"2020-10-01","36","1","34","1","0","0","2449",
"2020-10-02","37","2","34","1","0","0","2458",
"2020-10-03","37","2","34","1","0","0","2458",
"2020-10-04","37","2","34","1","0","0","2458",
"2020-10-05","37","2","34","1","0","0","2504",
"2020-10-06","37","2","34","1","0","0","2518",
"2020-10-07","37","1","35","1","0","0","2551",
"2020-10-08","37","1","35","1","0","0","2585",
"2020-10-09","37","1","35","1","0","0","2590",
"2020-10-10","37","1","35","1","0","0","2590",
"2020-10-11","37","1","35","1","0","0","2590",
"2020-10-12","39","2","36","1","0","0","2613",
"2020-10-13","39","2","36","1","0","0","2619",
"2020-10-14","41","4","36","1","0","0","2720",
"2020-10-15","57","20","36","1","0","0","2888",
"2020-10-16","83","46","36","1","1","0","2975",
"2020-10-17","100","63","36","1","1","0","3045",
"2020-10-18","104","67","36","1","1","0","3071",
"2020-10-19","122","85","36","1","2","0","3217",
"2020-10-20","134","97","36","1","2","0","3292",
"2020-10-21","138","98","39","1","2","0","3404",
"2020-10-22","148","105","42","1","2","0","3511",
"2020-10-23","150","100","49","1","3","0","3633",
"2020-10-24","170","111","58","1","3","0","3886",
"2020-10-25","175","114","60","1","3","0","4043",
"2020-10-26","187","119","67","1","3","0","4211",
"2020-10-27","195","116","77","2","2","0","4380",
"2020-10-28","206","121","83","2","3","0","4462",
"2020-10-29","217","112","103","2","3","0","4702",
"2020-10-30","222","99","120","3","1","0","4814",
"2020-10-31","227","90","133","4","2","0","4905",
"2020-11-01","236","89","143","4","3","0","5036",
"2020-11-02","244","89","151","4","3","0","5157",
"2020-11-03","245","79","162","4","3","0","5267",
"2020-11-04","256","80","172","4","3","0","5350",
"2020-11-05","264","74","186","4","3","0","5536",
"2020-11-06","269","69","196","4","3","0","5625",
"2020-11-07","271","72","195","4","3","0","5750",
"2020-11-08","273","73","196","4","3","0","5899",
"2020-11-09","274","63","206","5","2","0","5924",
"2020-11-10","274","59","210","5","2","0","6004",
"2020-11-11","275","55","215","5","2","0","6062",
"2020-11-12","275","47","222","6","2","0","6086",
"2020-11-13","275","38","231","6","2","0","6100",
"2020-11-14","278","37","235","6","2","0","6145",
"2020-11-15","278","35","237","6","2","0","6157",
"2020-11-16","279","32","241","6","2","0","6182",
"2020-11-17","280","31","243","6","2","0","6221",
"2020-11-18","280","27","247","6","2","0","6271",
"2020-11-19","280","26","248","6","2","0","6294",
"2020-11-20","280","19","255","6","2","0","6349",
"2020-11-21","280","19","255","6","2","0","6349",
"2020-11-22","280","19","255","6","2","0","6349",
"2020-11-23","281","19","256","6","2","0","6373",
"2020-11-24","281","15","260","6","2","0","6408",
"2020-11-25","282","14","262","6","2","0","6445",
"2020-11-26","285","16","263","6","2","0","6480",
"2020-11-27","287","16","265","6","2","0","6569",
"2020-11-28","287","16","265","6","2","0","6569",
"2020-11-29","287","16","265","6","2","0","6569",
"2020-11-30","295","22","267","6","2","0","6697",
"2020-12-01","299","26","267","6","2","0","6771",
"2020-12-02","307","33","268","6","2","0","6889",
"2020-12-03","315","40","269","6","2","0","6975",
"2020-12-04","321","42","273","6","2","0","7043",
"2020-12-05","324","45","273","6","2","0","7172",
"2020-12-06","330","51","273","6","2","0","7261",
"2020-12-07","343","63","274","6","2","0","7341",
"2020-12-08","345","53","286","6","2","0","7496",
"2020-12-09","354","61","287","6","2","0","7598",
"2020-12-10","358","61","291","6","2","0","7732",
"2020-12-11","364","65","293","6","2","0","7849",
"2020-12-12","371","67","298","6","2","0","7999",
"2020-12-13","373","59","308","6","2","0","8036",
"2020-12-14","375","55","314","6","2","0","8163",
"2020-12-15","382","51","325","6","2","0","8347",
"2020-12-16","383","48","329","6","2","0","8413",
"2020-12-17","390","47","337","6","2","0","8553",
"2020-12-18","390","40","344","6","2","0","8573",
"2020-12-19","390","39","345","6","2","0","8660",
"2020-12-20","390","39","345","6","2","0","8660",
"2020-12-21","391","25","360","6","2","0","8675",
"2020-12-22","396","25","365","6","2","0","8697",
"2020-12-23","403","30","367","6","2","0","8756",
"2020-12-24","407","33","368","6","2","0","8815",
"2020-12-25","414","32","376","6","2","0","8969",
"2020-12-26","422","38","377","7","1","0","9115",
"2020-12-27","428","44","377","7","1","0","9237",
"2020-12-28","438","51","380","7","2","0","9291",
"2020-12-29","453","63","382","8","2","0","9366",
"2020-12-30","459","69","382","8","2","0","9483",
"2020-12-31","482","89","385","8","2","0","9774",
"2021-01-01","492","93","391","8","2","0","9936",
"2021-01-02","496","94","394","8","2","0","9968",
"2021-01-03","506","103","395","8","2","0","10014",
"2021-01-04","516","98","410","8","2","0","10327",
"2021-01-05","523","92","423","8","2","0","10630","JP-02"
"2021-01-06","537","97","432","8","2","0","10782","JP-02"
"2021-01-07","545","101","436","8","2","0","10878","JP-02"
"2021-01-08","554","95","451","8","2","0","11027","JP-02"
"2021-01-09","559","87","464","8","2","0","11084","JP-02"
"2021-01-10","561","80","473","8","2","0","11166","JP-02"
"2021-01-11","567","78","481","8","2","0","11261","JP-02"
"2021-01-12","569","70","491","8","2","0","11295","JP-02"
"2021-01-13","582","69","505","8","1","0","11585","JP-02"
